epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,6813.12,0.2565,0.12698,0.00234,0.99207,0.99547,0.99469,0.9923,0.10272,0.05182,0.00083,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,6878.76,0.2528,0.12423,0.00232,0.99225,0.99572,0.99467,0.99232,0.10263,0.05111,0.00084,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,6945.3,0.25413,0.12565,0.0023,0.99221,0.99501,0.99467,0.99236,0.1025,0.05175,0.00084,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,7009.62,0.25239,0.12812,0.0023,0.99293,0.99589,0.99467,0.9925,0.10232,0.05167,0.00083,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,7075.09,0.2534,0.12362,0.00229,0.99216,0.9951,0.99467,0.99236,0.10214,0.05199,0.00083,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,7140.87,0.25234,0.12343,0.00231,0.99247,0.99541,0.99467,0.99237,0.10198,0.05187,0.00083,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,7205.19,0.25365,0.12387,0.00233,0.99327,0.99436,0.99468,0.99236,0.10175,0.05151,0.00083,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,7269.21,0.25493,0.12387,0.00228,0.99293,0.99494,0.99467,0.99237,0.10158,0.05151,0.00082,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,7333.32,0.25382,0.12282,0.00231,0.99347,0.99451,0.99488,0.99259,0.1014,0.05136,0.00082,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,7397.63,0.25113,0.12008,0.00228,0.99426,0.99372,0.99469,0.99234,0.10118,0.051,0.00082,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,7463.24,0.25001,0.12447,0.00225,0.99422,0.99368,0.99469,0.99233,0.10113,0.05081,0.00082,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,7527.37,0.24735,0.11951,0.00221,0.99367,0.99415,0.99469,0.99228,0.10088,0.05128,0.00082,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,7591.34,0.25072,0.12161,0.00225,0.99298,0.99435,0.99467,0.99226,0.10082,0.05161,0.00082,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,7655.37,0.25054,0.12176,0.00226,0.99107,0.99667,0.99469,0.99233,0.10061,0.05189,0.00081,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,7719.76,0.24681,0.11953,0.00218,0.99359,0.99471,0.99469,0.99244,0.1005,0.05062,0.00081,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,7784.03,0.24957,0.12088,0.00227,0.99364,0.99458,0.99469,0.99245,0.10029,0.05045,0.00081,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,7851.93,0.2476,0.12186,0.00227,0.99239,0.99513,0.99469,0.99239,0.10016,0.05014,0.00081,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,7933.34,0.24747,0.1183,0.00224,0.99344,0.99508,0.9947,0.99236,0.1001,0.05002,0.00081,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,8039.26,0.24812,0.12105,0.00226,0.99365,0.99502,0.9947,0.99227,0.10008,0.05002,0.00081,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
